File Location,Filename,YARA Rule Hit,First 50 Bytes
E:Users\John\Documents,File036,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b0655976
E:Users\John\Documents,File041,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde992244b92
E:Users\John\Documents,File059,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b36d4976
E:Users\John\Documents,File068,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd59af244b92
E:Users\John\Documents,File069,none_png.yar,89504e470d0a1a0ae000104a46494600010100000100010000ffdb004300080606070605080707070909080a0c140d0c0b0b
E:Users\John\Documents,File070,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd49b3654b76
E:Users\John\Documents,File072,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd699725c971
E:Users\John\Documents,File098,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69ac6ddb75
E:Users\John\Documents,File105,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfdf993245b76
E:Users\John\Documents,File108,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b22c4992
E:Users\John\Documents,File125,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd67b465c975
E:Users\John\Documents,File126,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd77b025c979
E:Users\John\Documents,File184,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfdf98f245b96
E:Users\John\Documents,File190,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfde9b36dc775
E:Users\John\Documents,File218,none_png.yar,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd69b06dc975
E:Users\John\Documents,File003,none_specific_licences.yar,436f7079726967687420286329205b796561725d205b66756c6c6e616d655d0d0a0d0a54686520556e6976657273616c2050
E:Users\John\Documents,File021,none_specific_licences.yar,2020202020202020202020202020202020202020474e552041464645524f2047454e4552414c205055424c4943204c494345
E:Users\John\Documents,File026,none_specific_licences.yar,2020202020202020202020202020202020202020474e552047454e4552414c205055424c4943204c4943454e53450d0a2020
E:Users\John\Documents,File065,none_specific_licences.yar,495343204c6963656e73650d0a0d0a436f7079726967687420286329205b796561725d205b66756c6c6e616d655d0d0a0d0a
E:Users\John\Documents,File086,none_specific_licences.yar,425344205a65726f20436c61757365204c6963656e73650d0a0d0a436f7079726967687420286329205b796561725d205b66
E:Users\John\Documents,File110,none_specific_licences.yar,4d6963726f736f6674205075626c6963204c6963656e736520284d732d504c290d0a0d0a54686973206c6963656e73652067
E:Users\John\Documents,File137,none_specific_licences.yar,426f6f737420536f667477617265204c6963656e7365202d2056657273696f6e20312e30202d204175677573742031377468
E:Users\John\Documents,File157,none_specific_licences.yar,41636164656d69632046726565204c6963656e736520282241464c222920762e20332e300d0a0d0a54686973204163616465
E:Users\John\Documents,File168,none_specific_licences.yar,20202020202020202020202020202020202020474e55204c45535345522047454e4552414c205055424c4943204c4943454e
